filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0927_2015,advanced_random,dorothea_500_1500,,,,,0.001,251.514,0.002,0.002,0.0,0.004,0.005,0.006,
baseline_advanced_random_0929_0041,advanced_random,dorothea_500_1500,,,,,0.001,251.514,0.002,0.002,0.0,0.004,0.005,0.006,
baseline_jordan_0927_2015,jordan,dorothea_500_1500,,,,,0.0,303.467,0.001,0.002,0.0,1.0,0.002,0.003,
baseline_jordan_0929_0041,jordan,dorothea_500_1500,,,,,0.0,303.467,0.001,0.002,0.0,1.0,0.002,0.003,
baseline_overlap_0927_2015,overlap,dorothea_500_1500,,,,,0.0,258.106,0.002,0.002,0.002,0.002,0.033,0.033,
baseline_overlap_0929_0041,overlap,dorothea_500_1500,,,,,0.0,258.106,0.002,0.002,0.002,0.002,0.033,0.033,
baseline_random_0927_2015,random,dorothea_500_1500,,,,,0.001,251.514,0.002,0.002,0.0,0.004,0.005,0.006,
baseline_random_0929_0041,random,dorothea_500_1500,,,,,0.001,251.514,0.002,0.002,0.0,0.004,0.005,0.006,
baseline_smallestSuperset_0927_2015,smallestSuperset,dorothea_500_1500,,,,,0.0,258.106,0.002,0.002,0.002,0.002,0.033,0.033,
baseline_smallestSuperset_0929_0041,smallestSuperset,dorothea_500_1500,,,,,0.0,258.106,0.002,0.002,0.002,0.002,0.033,0.033,
gat_0927_2227,gat,dorothea_500_1500,500.0,275.0,1.0,0.459,0.012,106.271,0.042,0.019,0.0,0.103,0.04,0.058,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 193, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.042, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 25, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.01, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 413, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 1, 'correct_predictions': 0, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 262, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
gat_0929_0341,gat,dorothea_500_1500,500.0,275.0,1.0,0.459,0.015,109.478,0.042,0.019,0.0,0.095,0.038,0.054,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 193, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.044, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 25, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.01, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 413, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 2, 'correct_predictions': 0, 'avg_prediction_prob': 0.023, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 262, 'total_samples': 2520, 'times_true_source': 0, 'times_predicted_source': 3, 'correct_predictions': 0, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': None, 'precision': 0.0, 'recall': None, 'f1_score': None}}"
