filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0923_0234,advanced_random,dorothea_500_800,,,,,0.002,249.299,0.002,0.002,0.0,0.004,0.005,0.008,
baseline_jordan_0923_0234,jordan,dorothea_500_800,,,,,0.0,248.164,0.002,0.002,0.0,1.0,0.017,0.026,
baseline_overlap_0923_0234,overlap,dorothea_500_800,,,,,0.0,263.665,0.002,0.002,0.002,0.002,0.005,0.01,
baseline_random_0923_0234,random,dorothea_500_800,,,,,0.002,249.299,0.002,0.002,0.0,0.004,0.005,0.008,
baseline_smallestSuperset_0923_0234,smallestSuperset,dorothea_500_800,,,,,0.0,263.665,0.002,0.002,0.002,0.002,0.005,0.01,
gat_0922_2234,gat,dorothea_500_800,500.0,194.0,1.0,0.381,0.005,222.08,0.019,0.018,0.012,0.058,0.011,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 292.045, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 17, 'correct_predictions': 3, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 125.274, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.028, 'precision': 0.176, 'recall': 0.028, 'f1_score': 0.049}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2636, 'correct_predictions': 15, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 26.655, 'avg_prob_when_true': 0.024, 'in_top3_when_true': 17, 'in_top5_when_true': 17, 'accuracy_when_true': 0.179, 'precision': 0.006, 'recall': 0.179, 'f1_score': 0.011}}"
gat_0923_1241,gat,dorothea_500_800,500.0,194.0,1.0,0.381,0.004,223.068,0.019,0.019,0.013,0.056,0.011,0.019,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 287.432, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 16, 'correct_predictions': 3, 'avg_prediction_prob': 0.021, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 118.981, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.028, 'precision': 0.188, 'recall': 0.028, 'f1_score': 0.049}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2613, 'correct_predictions': 15, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 24.155, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 15, 'in_top5_when_true': 17, 'accuracy_when_true': 0.179, 'precision': 0.006, 'recall': 0.179, 'f1_score': 0.011}}"
gat_0925_1729,gat,dorothea_500_800,500.0,194.0,1.0,0.381,0.004,223.666,0.019,0.019,0.013,0.059,0.011,0.019,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 292.613, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 18, 'correct_predictions': 3, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 120.509, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.028, 'precision': 0.167, 'recall': 0.028, 'f1_score': 0.048}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2616, 'correct_predictions': 13, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 24.429, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 17, 'in_top5_when_true': 17, 'accuracy_when_true': 0.155, 'precision': 0.005, 'recall': 0.155, 'f1_score': 0.01}}"
gat_0926_1641,gat,dorothea_500_800,500.0,194.0,1.0,0.381,0.004,222.585,0.02,0.019,0.013,0.058,0.011,0.019,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 290.189, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 22, 'correct_predictions': 3, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 122.849, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.028, 'precision': 0.136, 'recall': 0.028, 'f1_score': 0.047}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2632, 'correct_predictions': 15, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 26.19, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 17, 'in_top5_when_true': 18, 'accuracy_when_true': 0.179, 'precision': 0.006, 'recall': 0.179, 'f1_score': 0.011}}"
gat_0927_2233,gat,dorothea_500_800,500.0,194.0,1.0,0.381,0.004,223.535,0.02,0.019,0.013,0.051,0.011,0.019,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 295.252, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 17, 'correct_predictions': 3, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 132.934, 'avg_prob_when_true': 0.022, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.028, 'precision': 0.176, 'recall': 0.028, 'f1_score': 0.049}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2645, 'correct_predictions': 15, 'avg_prediction_prob': 0.024, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 25.679, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 17, 'in_top5_when_true': 17, 'accuracy_when_true': 0.179, 'precision': 0.006, 'recall': 0.179, 'f1_score': 0.011}}"
gat_0929_0345,gat,dorothea_500_800,500.0,194.0,1.0,0.381,0.004,223.462,0.02,0.019,0.013,0.057,0.011,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 287.766, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 17, 'correct_predictions': 3, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 110.028, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 3, 'in_top5_when_true': 3, 'accuracy_when_true': 0.028, 'precision': 0.176, 'recall': 0.028, 'f1_score': 0.049}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2614, 'correct_predictions': 13, 'avg_prediction_prob': 0.025, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 23.976, 'avg_prob_when_true': 0.025, 'in_top3_when_true': 15, 'in_top5_when_true': 17, 'accuracy_when_true': 0.155, 'precision': 0.005, 'recall': 0.155, 'f1_score': 0.01}}"
pdgrapher_0922_2355,pdgrapher,dorothea_500_800,500.0,194.0,1.0,0.381,0.328,72.417,2.14,-4.221,-109.958,20.61,0.476,0.543,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 80, 'correct_predictions': 41, 'avg_prediction_prob': -2.774, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 35.117, 'avg_prob_when_true': 2.072, 'in_top3_when_true': 55, 'in_top5_when_true': 60, 'accuracy_when_true': 0.369, 'precision': 0.512, 'recall': 0.369, 'f1_score': 0.429}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 30, 'correct_predictions': 14, 'avg_prediction_prob': -3.5, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 40.198, 'avg_prob_when_true': 1.566, 'in_top3_when_true': 44, 'in_top5_when_true': 59, 'accuracy_when_true': 0.132, 'precision': 0.467, 'recall': 0.132, 'f1_score': 0.206}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 2242, 'correct_predictions': 51, 'avg_prediction_prob': 0.53, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 2.012, 'avg_prob_when_true': 6.037, 'in_top3_when_true': 66, 'in_top5_when_true': 71, 'accuracy_when_true': 0.607, 'precision': 0.023, 'recall': 0.607, 'f1_score': 0.044}}"
pdgrapher_0923_1417,pdgrapher,dorothea_500_800,500.0,194.0,1.0,0.381,0.365,69.521,3.201,-4.974,-77.772,35.841,0.504,0.558,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 103, 'correct_predictions': 41, 'avg_prediction_prob': -3.494, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 22.667, 'avg_prob_when_true': 3.757, 'in_top3_when_true': 52, 'in_top5_when_true': 61, 'accuracy_when_true': 0.369, 'precision': 0.398, 'recall': 0.369, 'f1_score': 0.383}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 77, 'correct_predictions': 28, 'avg_prediction_prob': -5.285, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 101.802, 'avg_prob_when_true': 1.429, 'in_top3_when_true': 38, 'in_top5_when_true': 47, 'accuracy_when_true': 0.264, 'precision': 0.364, 'recall': 0.264, 'f1_score': 0.306}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 33, 'correct_predictions': 29, 'avg_prediction_prob': -3.274, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 6.976, 'avg_prob_when_true': 4.011, 'in_top3_when_true': 50, 'in_top5_when_true': 55, 'accuracy_when_true': 0.345, 'precision': 0.879, 'recall': 0.345, 'f1_score': 0.496}}"
pdgrapher_0925_2012,pdgrapher,dorothea_500_800,500.0,194.0,1.0,0.381,0.321,78.832,1.19,-5.058,-41.091,12.435,0.472,0.532,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19284, 'times_true_source': 111, 'times_predicted_source': 52, 'correct_predictions': 23, 'avg_prediction_prob': -4.929, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 89.604, 'avg_prob_when_true': -0.555, 'in_top3_when_true': 40, 'in_top5_when_true': 46, 'accuracy_when_true': 0.207, 'precision': 0.442, 'recall': 0.207, 'f1_score': 0.282}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19284, 'times_true_source': 106, 'times_predicted_source': 113, 'correct_predictions': 36, 'avg_prediction_prob': -4.425, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 64.415, 'avg_prob_when_true': 2.095, 'in_top3_when_true': 59, 'in_top5_when_true': 67, 'accuracy_when_true': 0.34, 'precision': 0.319, 'recall': 0.34, 'f1_score': 0.329}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19284, 'times_true_source': 84, 'times_predicted_source': 189, 'correct_predictions': 32, 'avg_prediction_prob': -3.556, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 37.488, 'avg_prob_when_true': 2.606, 'in_top3_when_true': 52, 'in_top5_when_true': 54, 'accuracy_when_true': 0.381, 'precision': 0.169, 'recall': 0.381, 'f1_score': 0.234}}"
