filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0922_2311,advanced_random,dorothea_500_700,,,,,0.002,250.021,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_jordan_0922_2311,jordan,dorothea_500_700,,,,,0.0,259.008,0.001,0.002,0.0,1.0,0.006,0.006,
baseline_overlap_0922_2311,overlap,dorothea_500_700,,,,,0.0,260.976,0.002,0.002,0.002,0.002,0.006,0.01,
baseline_random_0922_2311,random,dorothea_500_700,,,,,0.002,250.021,0.002,0.002,0.0,0.004,0.007,0.011,
baseline_smallestSuperset_0922_2311,smallestSuperset,dorothea_500_700,,,,,0.0,260.976,0.002,0.002,0.002,0.002,0.006,0.01,
gat_0922_1938,gat,dorothea_500_700,500.0,189.0,1.0,0.341,0.006,210.202,0.02,0.019,0.012,0.047,0.012,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19052, 'times_true_source': 137, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 335.657, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19052, 'times_true_source': 105, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 342.857, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19052, 'times_true_source': 104, 'times_predicted_source': 5280, 'correct_predictions': 77, 'avg_prediction_prob': 0.026, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 17.067, 'avg_prob_when_true': 0.03, 'in_top3_when_true': 83, 'in_top5_when_true': 83, 'accuracy_when_true': 0.74, 'precision': 0.015, 'recall': 0.74, 'f1_score': 0.029}}"
gat_0923_1231,gat,dorothea_500_700,500.0,189.0,1.0,0.341,0.006,211.566,0.02,0.019,0.011,0.054,0.012,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19052, 'times_true_source': 137, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 347.255, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19052, 'times_true_source': 105, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 362.21, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19052, 'times_true_source': 104, 'times_predicted_source': 5092, 'correct_predictions': 77, 'avg_prediction_prob': 0.027, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 20.077, 'avg_prob_when_true': 0.032, 'in_top3_when_true': 79, 'in_top5_when_true': 79, 'accuracy_when_true': 0.74, 'precision': 0.015, 'recall': 0.74, 'f1_score': 0.03}}"
gat_0926_1501,gat,dorothea_500_700,500.0,189.0,1.0,0.341,0.006,210.899,0.02,0.019,0.012,0.053,0.011,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19052, 'times_true_source': 137, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 345.854, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19052, 'times_true_source': 105, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 353.448, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19052, 'times_true_source': 104, 'times_predicted_source': 5030, 'correct_predictions': 77, 'avg_prediction_prob': 0.027, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 19.548, 'avg_prob_when_true': 0.031, 'in_top3_when_true': 78, 'in_top5_when_true': 79, 'accuracy_when_true': 0.74, 'precision': 0.015, 'recall': 0.74, 'f1_score': 0.03}}"
gat_0926_1626,gat,dorothea_500_700,500.0,189.0,1.0,0.341,0.006,211.78,0.02,0.019,0.012,0.053,0.012,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19052, 'times_true_source': 137, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 348.35, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19052, 'times_true_source': 105, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 355.086, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19052, 'times_true_source': 104, 'times_predicted_source': 5042, 'correct_predictions': 77, 'avg_prediction_prob': 0.026, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 20.962, 'avg_prob_when_true': 0.03, 'in_top3_when_true': 78, 'in_top5_when_true': 79, 'accuracy_when_true': 0.74, 'precision': 0.015, 'recall': 0.74, 'f1_score': 0.03}}"
gat_0927_2231,gat,dorothea_500_700,500.0,189.0,1.0,0.341,0.006,212.364,0.02,0.019,0.012,0.051,0.011,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19052, 'times_true_source': 137, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 352.526, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19052, 'times_true_source': 105, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 379.01, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19052, 'times_true_source': 104, 'times_predicted_source': 4937, 'correct_predictions': 77, 'avg_prediction_prob': 0.026, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 20.673, 'avg_prob_when_true': 0.031, 'in_top3_when_true': 77, 'in_top5_when_true': 79, 'accuracy_when_true': 0.74, 'precision': 0.016, 'recall': 0.74, 'f1_score': 0.031}}"
gat_0929_0342,gat,dorothea_500_700,500.0,189.0,1.0,0.341,0.006,211.147,0.02,0.019,0.012,0.052,0.011,0.018,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19052, 'times_true_source': 137, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 358.277, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19052, 'times_true_source': 105, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.015, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 361.124, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19052, 'times_true_source': 104, 'times_predicted_source': 5144, 'correct_predictions': 77, 'avg_prediction_prob': 0.026, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 19.615, 'avg_prob_when_true': 0.031, 'in_top3_when_true': 78, 'in_top5_when_true': 79, 'accuracy_when_true': 0.74, 'precision': 0.015, 'recall': 0.74, 'f1_score': 0.029}}"
