filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0922_1935,advanced_random,dorothea_500_1000,,,,,0.002,250.305,0.002,0.002,0.0,0.011,0.006,0.01,
baseline_advanced_random_0925_1711,advanced_random,dorothea_500_1000,,,,,0.002,250.305,0.002,0.002,0.0,0.011,0.006,0.01,
baseline_advanced_random_0925_1738,advanced_random,dorothea_500_1000,,,,,0.002,250.305,0.002,0.002,0.0,0.011,0.006,0.01,
baseline_advanced_random_0926_1455,advanced_random,dorothea_500_1000,,,,,0.002,250.305,0.002,0.002,0.0,0.011,0.006,0.01,
baseline_advanced_random_0927_2005,advanced_random,dorothea_500_1000,,,,,0.002,250.305,0.002,0.002,0.0,0.011,0.006,0.01,
baseline_advanced_random_0929_0029,advanced_random,dorothea_500_1000,,,,,0.002,250.305,0.002,0.002,0.0,0.011,0.006,0.01,
baseline_jordan_0922_1935,jordan,dorothea_500_1000,,,,,0.001,264.513,0.002,0.002,0.0,1.0,0.007,0.01,
baseline_jordan_0925_1711,jordan,dorothea_500_1000,,,,,0.001,264.513,0.002,0.002,0.0,1.0,0.007,0.01,
baseline_jordan_0925_1738,jordan,dorothea_500_1000,,,,,0.001,264.513,0.002,0.002,0.0,1.0,0.007,0.01,
baseline_jordan_0926_1455,jordan,dorothea_500_1000,,,,,0.001,264.513,0.002,0.002,0.0,1.0,0.007,0.01,
baseline_jordan_0927_2005,jordan,dorothea_500_1000,,,,,0.001,264.513,0.002,0.002,0.0,1.0,0.007,0.01,
baseline_jordan_0929_0029,jordan,dorothea_500_1000,,,,,0.001,264.513,0.002,0.002,0.0,1.0,0.007,0.01,
baseline_overlap_0922_1935,overlap,dorothea_500_1000,,,,,0.006,261.444,0.003,0.002,0.0,1.0,0.011,0.013,
baseline_overlap_0925_1711,overlap,dorothea_500_1000,,,,,0.006,261.444,0.003,0.002,0.0,1.0,0.011,0.013,
baseline_overlap_0925_1738,overlap,dorothea_500_1000,,,,,0.006,261.444,0.003,0.002,0.0,1.0,0.011,0.013,
baseline_overlap_0926_1455,overlap,dorothea_500_1000,,,,,0.006,261.444,0.003,0.002,0.0,1.0,0.011,0.013,
baseline_overlap_0927_2005,overlap,dorothea_500_1000,,,,,0.006,261.444,0.003,0.002,0.0,1.0,0.011,0.013,
baseline_overlap_0929_0029,overlap,dorothea_500_1000,,,,,0.006,261.444,0.003,0.002,0.0,1.0,0.011,0.013,
baseline_random_0922_1935,random,dorothea_500_1000,,,,,0.002,250.367,0.002,0.002,0.0,0.004,0.007,0.01,
baseline_random_0925_1711,random,dorothea_500_1000,,,,,0.002,250.367,0.002,0.002,0.0,0.004,0.007,0.01,
baseline_random_0925_1738,random,dorothea_500_1000,,,,,0.002,250.367,0.002,0.002,0.0,0.004,0.007,0.01,
baseline_random_0926_1455,random,dorothea_500_1000,,,,,0.002,250.367,0.002,0.002,0.0,0.004,0.007,0.01,
baseline_random_0927_2005,random,dorothea_500_1000,,,,,0.002,250.367,0.002,0.002,0.0,0.004,0.007,0.01,
baseline_random_0929_0029,random,dorothea_500_1000,,,,,0.002,250.367,0.002,0.002,0.0,0.004,0.007,0.01,
baseline_smallestSuperset_0922_1935,smallestSuperset,dorothea_500_1000,,,,,0.0,268.299,0.002,0.002,0.0,1.0,0.005,0.013,
baseline_smallestSuperset_0925_1711,smallestSuperset,dorothea_500_1000,,,,,0.0,268.299,0.002,0.002,0.0,1.0,0.005,0.013,
baseline_smallestSuperset_0925_1738,smallestSuperset,dorothea_500_1000,,,,,0.0,268.299,0.002,0.002,0.0,1.0,0.005,0.013,
baseline_smallestSuperset_0926_1455,smallestSuperset,dorothea_500_1000,,,,,0.0,268.299,0.002,0.002,0.0,1.0,0.005,0.013,
baseline_smallestSuperset_0927_2005,smallestSuperset,dorothea_500_1000,,,,,0.0,268.299,0.002,0.002,0.0,1.0,0.005,0.013,
baseline_smallestSuperset_0929_0029,smallestSuperset,dorothea_500_1000,,,,,0.0,268.299,0.002,0.002,0.0,1.0,0.005,0.013,
gat_0922_1801,gat,dorothea_500_1000,500.0,202.0,1.0,0.558,0.006,228.901,0.021,0.02,0.007,0.067,0.021,0.034,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 8917, 'times_true_source': 25, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 74.56, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 8917, 'times_true_source': 23, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.023, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 199.304, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 8917, 'times_true_source': 77, 'times_predicted_source': 34, 'correct_predictions': 0, 'avg_prediction_prob': 0.018, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 385.532, 'avg_prob_when_true': 0.018, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}}"
