filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1007_2318,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,0.006,0.009,,,,
baseline_advanced_random_1009_0013,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,,0.041,0.079,0.152,
baseline_advanced_random_1009_0926,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,,0.041,0.079,0.152,
baseline_advanced_random_1009_1016,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,,0.041,0.079,0.152,
baseline_advanced_random_1009_1056,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,0.009,0.041,0.079,0.152,
baseline_advanced_random_1009_1219,advanced_random,dorothea_500_1000,,,,,0.003,260.579,0.002,0.002,0.0,0.008,,0.009,0.041,0.079,0.152,
baseline_jordan_1007_2318,jordan,dorothea_500_1000,,,,,0.001,261.914,0.001,0.002,0.0,1.0,0.001,0.004,,,,
baseline_jordan_1009_0013,jordan,dorothea_500_1000,,,,,0.001,261.914,0.001,0.002,0.0,1.0,,,0.027,0.068,0.143,
baseline_jordan_1009_0926,jordan,dorothea_500_1000,,,,,0.001,261.914,0.001,0.002,0.0,1.0,,,0.027,0.068,0.143,
baseline_jordan_1009_1016,jordan,dorothea_500_1000,,,,,0.001,261.914,0.001,0.002,0.0,1.0,,,0.027,0.068,0.143,
baseline_jordan_1009_1056,jordan,dorothea_500_1000,,,,,0.001,261.914,0.001,0.002,0.0,1.0,,0.004,0.027,0.068,0.143,
baseline_jordan_1009_1219,jordan,dorothea_500_1000,,,,,0.001,261.914,0.001,0.002,0.0,1.0,,0.004,0.027,0.068,0.143,
baseline_overlap_1007_2318,overlap,dorothea_500_1000,,,,,0.0,266.456,0.002,0.002,0.0,1.0,0.002,0.01,,,,
baseline_overlap_1009_0013,overlap,dorothea_500_1000,,,,,0.0,266.456,0.002,0.002,0.0,1.0,,,0.036,0.087,0.144,
baseline_overlap_1009_0926,overlap,dorothea_500_1000,,,,,0.0,266.456,0.002,0.002,0.0,1.0,,,0.036,0.087,0.144,
baseline_overlap_1009_1016,overlap,dorothea_500_1000,,,,,0.0,266.456,0.002,0.002,0.0,1.0,,,0.036,0.087,0.144,
baseline_overlap_1009_1056,overlap,dorothea_500_1000,,,,,0.0,266.456,0.002,0.002,0.0,1.0,,0.01,0.036,0.087,0.144,
baseline_overlap_1009_1219,overlap,dorothea_500_1000,,,,,0.0,266.456,0.002,0.002,0.0,1.0,,0.01,0.036,0.087,0.144,
baseline_random_1007_2318,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,0.005,0.008,,,,
baseline_random_1009_0013,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_0926,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_1016,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,,0.043,0.085,0.164,
baseline_random_1009_1056,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_random_1009_1219,random,dorothea_500_1000,,,,,0.002,247.367,0.002,0.002,0.0,0.004,,0.008,0.043,0.085,0.164,
baseline_smallestSuperset_1007_2318,smallestSuperset,dorothea_500_1000,,,,,0.004,254.999,0.002,0.002,0.0,1.0,0.008,0.012,,,,
baseline_smallestSuperset_1009_0013,smallestSuperset,dorothea_500_1000,,,,,0.004,254.999,0.002,0.002,0.0,1.0,,,0.05,0.099,0.164,
baseline_smallestSuperset_1009_0926,smallestSuperset,dorothea_500_1000,,,,,0.004,254.999,0.002,0.002,0.0,1.0,,,0.05,0.099,0.164,
baseline_smallestSuperset_1009_1016,smallestSuperset,dorothea_500_1000,,,,,0.004,254.999,0.002,0.002,0.0,1.0,,,0.05,0.099,0.164,
baseline_smallestSuperset_1009_1056,smallestSuperset,dorothea_500_1000,,,,,0.004,254.999,0.002,0.002,0.0,1.0,,0.012,0.05,0.099,0.164,
