filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1008_1436,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,0.004,0.012,,,,
baseline_advanced_random_1009_0034,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_advanced_random_1009_0952,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_advanced_random_1009_1117,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,0.012,0.037,0.078,0.158,
baseline_advanced_random_1009_1238,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,0.012,0.037,0.078,0.158,
baseline_jordan_1008_1436,jordan,dorothea_500_600,,,,,0.004,249.488,0.001,0.002,0.0,1.0,0.006,0.008,,,,
baseline_jordan_1009_0034,jordan,dorothea_500_600,,,,,0.004,249.488,0.001,0.002,0.0,1.0,,,0.036,0.088,0.135,
baseline_jordan_1009_0952,jordan,dorothea_500_600,,,,,0.004,249.488,0.001,0.002,0.0,1.0,,,0.036,0.088,0.135,
baseline_jordan_1009_1117,jordan,dorothea_500_600,,,,,0.004,249.488,0.001,0.002,0.0,1.0,,0.008,0.036,0.088,0.135,
baseline_jordan_1009_1238,jordan,dorothea_500_600,,,,,0.004,249.488,0.001,0.002,0.0,1.0,,0.008,0.036,0.088,0.135,
baseline_overlap_1008_1436,overlap,dorothea_500_600,,,,,0.006,245.028,0.002,0.002,0.002,0.002,0.013,0.02,,,,
baseline_overlap_1009_0034,overlap,dorothea_500_600,,,,,0.006,245.028,0.002,0.002,0.002,0.002,,,0.047,0.104,0.17,
baseline_overlap_1009_0952,overlap,dorothea_500_600,,,,,0.006,245.028,0.002,0.002,0.002,0.002,,,0.047,0.104,0.17,
baseline_overlap_1009_1117,overlap,dorothea_500_600,,,,,0.006,245.028,0.002,0.002,0.002,0.002,,0.02,0.047,0.104,0.17,
baseline_overlap_1009_1238,overlap,dorothea_500_600,,,,,0.006,245.028,0.002,0.002,0.002,0.002,,0.02,0.047,0.104,0.17,
baseline_random_1008_1436,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,0.004,0.012,,,,
baseline_random_1009_0034,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
