filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics
baseline_advanced_random_1008_1415,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,0.004,0.012,,,,
baseline_advanced_random_1009_0010,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_advanced_random_1009_0923,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_advanced_random_1009_1013,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_advanced_random_1009_1053,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,0.012,0.037,0.078,0.158,
baseline_advanced_random_1009_1215,advanced_random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,0.012,0.037,0.078,0.158,
baseline_jordan_1008_1415,jordan,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,0.006,0.01,,,,
baseline_jordan_1009_0010,jordan,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,,0.045,0.11,0.181,
baseline_jordan_1009_0923,jordan,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,,0.045,0.11,0.181,
baseline_jordan_1009_1013,jordan,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,,0.045,0.11,0.181,
baseline_jordan_1009_1053,jordan,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,0.01,0.045,0.11,0.181,
baseline_jordan_1009_1215,jordan,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,0.01,0.045,0.11,0.181,
baseline_overlap_1008_1415,overlap,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,0.006,0.01,,,,
baseline_overlap_1009_0010,overlap,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,,0.045,0.11,0.181,
baseline_overlap_1009_0923,overlap,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,,0.045,0.11,0.181,
baseline_overlap_1009_1013,overlap,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,,0.045,0.11,0.181,
baseline_overlap_1009_1053,overlap,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,0.01,0.045,0.11,0.181,
baseline_overlap_1009_1215,overlap,dorothea_500_600,,,,,0.004,246.468,0.001,0.002,0.0,1.0,,0.01,0.045,0.11,0.181,
baseline_random_1008_1415,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,0.004,0.012,,,,
baseline_random_1009_0010,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_random_1009_0923,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_random_1009_1013,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,,0.037,0.078,0.158,
baseline_random_1009_1053,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,0.012,0.037,0.078,0.158,
baseline_random_1009_1215,random,dorothea_500_600,,,,,0.003,248.827,0.002,0.002,0.0,0.004,,0.012,0.037,0.078,0.158,
baseline_smallestSuperset_1008_1415,smallestSuperset,dorothea_500_600,,,,,0.006,244.542,0.001,0.002,0.0,1.0,0.013,0.02,,,,
baseline_smallestSuperset_1009_0010,smallestSuperset,dorothea_500_600,,,,,0.006,244.542,0.001,0.002,0.0,1.0,,,0.046,0.108,0.176,
baseline_smallestSuperset_1009_0923,smallestSuperset,dorothea_500_600,,,,,0.006,244.542,0.001,0.002,0.0,1.0,,,0.046,0.108,0.176,
baseline_smallestSuperset_1009_1013,smallestSuperset,dorothea_500_600,,,,,0.006,244.542,0.001,0.002,0.0,1.0,,,0.046,0.108,0.176,
baseline_smallestSuperset_1009_1053,smallestSuperset,dorothea_500_600,,,,,0.006,244.542,0.001,0.002,0.0,1.0,,0.02,0.046,0.108,0.176,
