filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1103_0937,advanced_random,dorothea_500_1000,,,,,0.003,148.177,0.296,0.004,0.002,0.0,0.009,0.019,0.068,0.141,0.276,,,
baseline_advanced_random_1103_1002,advanced_random,dorothea_500_1000,,,,,0.003,148.177,0.296,0.004,0.002,0.0,0.009,0.019,0.068,0.141,0.276,,,
baseline_jordan_1103_0937,jordan,dorothea_500_1000,,,,,0.018,242.749,0.485,0.009,0.002,0.0,1.0,0.042,0.073,0.118,0.185,,,
baseline_jordan_1103_1002,jordan,dorothea_500_1000,,,,,0.018,242.749,0.485,0.009,0.002,0.0,1.0,0.042,0.073,0.118,0.185,,,
baseline_overlap_1103_0937,overlap,dorothea_500_1000,,,,,0.02,122.142,0.244,0.023,0.002,0.0,0.994,0.147,0.208,0.287,0.429,,,
baseline_overlap_1103_1002,overlap,dorothea_500_1000,,,,,0.02,122.142,0.244,0.023,0.002,0.0,0.994,0.147,0.208,0.287,0.429,,,
baseline_random_1103_0937,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1103_1002,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1103_0937,smallestSuperset,dorothea_500_1000,,,,,0.021,246.443,0.493,0.019,0.002,0.0,1.0,0.03,0.056,0.116,0.183,,,
baseline_smallestSuperset_1103_1002,smallestSuperset,dorothea_500_1000,,,,,0.021,246.443,0.493,0.019,0.002,0.0,1.0,0.03,0.056,0.116,0.183,,,
