filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 3,source in top 5,gene_specific_metrics
baseline_advanced_random_0923_0410,advanced_random,dorothea_500_900,,,,,0.002,249.63,0.002,0.002,0.0,0.004,0.006,0.01,
baseline_jordan_0923_0410,jordan,dorothea_500_900,,,,,0.0,258.695,0.002,0.002,0.0,1.0,0.008,0.011,
baseline_overlap_0923_0410,overlap,dorothea_500_900,,,,,0.0,261.356,0.002,0.002,0.002,0.002,0.01,0.014,
baseline_random_0923_0410,random,dorothea_500_900,,,,,0.002,249.63,0.002,0.002,0.0,0.004,0.006,0.01,
baseline_smallestSuperset_0923_0410,smallestSuperset,dorothea_500_900,,,,,0.0,261.356,0.002,0.002,0.002,0.002,0.01,0.014,
gat_0922_2323,gat,dorothea_500_900,500.0,200.0,1.0,0.498,0.006,232.007,0.019,0.019,0.013,0.052,0.013,0.019,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19600, 'times_true_source': 96, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.016, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 449.51, 'avg_prob_when_true': 0.016, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19600, 'times_true_source': 98, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 151.439, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19600, 'times_true_source': 84, 'times_predicted_source': 3256, 'correct_predictions': 25, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 110.786, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 30, 'in_top5_when_true': 30, 'accuracy_when_true': 0.298, 'precision': 0.008, 'recall': 0.298, 'f1_score': 0.015}}"
gat_0923_1342,gat,dorothea_500_900,500.0,200.0,1.0,0.498,0.006,236.626,0.019,0.019,0.014,0.051,0.012,0.017,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19600, 'times_true_source': 96, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 469.948, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19600, 'times_true_source': 98, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 273.857, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19600, 'times_true_source': 84, 'times_predicted_source': 3254, 'correct_predictions': 24, 'avg_prediction_prob': 0.023, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 33.226, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 30, 'in_top5_when_true': 30, 'accuracy_when_true': 0.286, 'precision': 0.007, 'recall': 0.286, 'f1_score': 0.014}}"
gat_0925_1929,gat,dorothea_500_900,500.0,200.0,1.0,0.498,0.005,233.549,0.019,0.019,0.014,0.049,0.012,0.019,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19600, 'times_true_source': 96, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 438.427, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19600, 'times_true_source': 98, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 142.653, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19600, 'times_true_source': 84, 'times_predicted_source': 3203, 'correct_predictions': 18, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 133.69, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 27, 'in_top5_when_true': 29, 'accuracy_when_true': 0.214, 'precision': 0.006, 'recall': 0.214, 'f1_score': 0.011}}"
gat_0926_1655,gat,dorothea_500_900,500.0,200.0,1.0,0.498,0.006,235.447,0.019,0.019,0.014,0.052,0.011,0.016,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19600, 'times_true_source': 96, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 443.677, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19600, 'times_true_source': 98, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.019, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 228.061, 'avg_prob_when_true': 0.019, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19600, 'times_true_source': 84, 'times_predicted_source': 3267, 'correct_predictions': 25, 'avg_prediction_prob': 0.022, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 32.726, 'avg_prob_when_true': 0.023, 'in_top3_when_true': 30, 'in_top5_when_true': 30, 'accuracy_when_true': 0.298, 'precision': 0.008, 'recall': 0.298, 'f1_score': 0.015}}"
gat_0927_2035,gat,dorothea_500_900,500.0,200.0,1.0,0.498,0.005,232.643,0.019,0.019,0.015,0.054,0.012,0.016,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 214, 'total_samples': 19600, 'times_true_source': 96, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.017, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 447.26, 'avg_prob_when_true': 0.017, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 433, 'total_samples': 19600, 'times_true_source': 98, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.02, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 193.01, 'avg_prob_when_true': 0.02, 'in_top3_when_true': 0, 'in_top5_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 265, 'total_samples': 19600, 'times_true_source': 84, 'times_predicted_source': 3259, 'correct_predictions': 25, 'avg_prediction_prob': 0.023, 'avg_rank': 0.0, 'in_top3_count': 0, 'in_top5_count': 0, 'avg_rank_when_true': 34.369, 'avg_prob_when_true': 0.024, 'in_top3_when_true': 30, 'in_top5_when_true': 30, 'accuracy_when_true': 0.298, 'precision': 0.008, 'recall': 0.298, 'f1_score': 0.015}}"
