filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1021_0710,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1022_1624,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1025_2114,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1026_1632,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1027_0222,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1027_1137,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1027_1433,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,,,,
baseline_advanced_random_1031_1149,advanced_random,dorothea_500_1000,,,,,0.004,140.01,0.004,0.002,0.0,0.008,0.019,0.071,0.142,0.281,0.28,,,
baseline_jordan_1021_0710,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1022_1624,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1025_2114,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1026_1632,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1027_0222,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1027_1137,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1027_1433,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,,,,
baseline_jordan_1031_1149,jordan,dorothea_500_1000,,,,,0.107,103.901,0.07,0.002,0.0,1.0,0.2,0.272,0.345,0.486,0.208,,,
baseline_overlap_1021_0710,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1022_1624,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1025_2114,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1026_1632,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1027_0222,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1027_1137,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1027_1433,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,,,,
baseline_overlap_1031_1149,overlap,dorothea_500_1000,,,,,0.106,61.692,0.049,0.002,0.0,0.709,0.351,0.409,0.484,0.629,0.123,,,
baseline_random_1021_0710,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1022_1624,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1025_2114,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1026_1632,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1027_0222,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1027_1137,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1027_1433,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,,
baseline_random_1031_1149,random,dorothea_500_1000,,,,,0.002,251.509,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,0.503,,,
baseline_smallestSuperset_1021_0710,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1022_1624,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1025_2114,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1026_1632,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1027_0222,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1027_1137,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1027_1433,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,,,,
baseline_smallestSuperset_1031_1149,smallestSuperset,dorothea_500_1000,,,,,0.125,148.68,0.122,0.002,0.0,1.0,0.138,0.2,0.283,0.45,0.297,,,
