filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,avg norm rank of source,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1020_0903,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1021_0058,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1022_1608,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1022_1717,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1025_2106,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1026_1619,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1027_0209,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1027_1123,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1027_1421,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,,,,
baseline_advanced_random_1028_2353,advanced_random,dorothea_100_500,,,,,0.011,43.932,0.011,0.01,0.0,0.028,0.056,0.225,0.451,0.9,0.439,,,
baseline_jordan_1020_0903,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1021_0058,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1022_1608,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1022_1717,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1025_2106,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1026_1619,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1027_0209,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1027_1123,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1027_1421,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,,,,
baseline_jordan_1028_2353,jordan,dorothea_100_500,,,,,0.012,43.668,0.011,0.01,0.0,0.023,0.058,0.234,0.455,0.901,0.437,,,
baseline_overlap_1020_0903,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1021_0058,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1022_1608,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1022_1717,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1025_2106,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1026_1619,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1027_0209,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1027_1123,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1027_1421,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,,,,
baseline_overlap_1028_2353,overlap,dorothea_100_500,,,,,0.01,43.818,0.011,0.01,0.0,0.212,0.054,0.223,0.454,0.9,0.438,,,
baseline_random_1020_0903,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1021_0058,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1022_1608,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1022_1717,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1025_2106,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1026_1619,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1027_0209,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1027_1123,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1027_1421,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,,,,
baseline_random_1028_2353,random,dorothea_100_500,,,,,0.01,49.422,0.01,0.01,0.0,0.025,0.049,0.201,0.4,0.802,0.494,,,
baseline_smallestSuperset_1020_0903,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1021_0058,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1022_1608,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1022_1717,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1025_2106,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1026_1619,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1027_0209,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1027_1123,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1027_1421,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,,,,
baseline_smallestSuperset_1028_2353,smallestSuperset,dorothea_100_500,,,,,0.01,43.9,0.011,0.01,0.0,0.012,0.055,0.224,0.455,0.904,0.439,,,
