filename,model_type,network,num_nodes,num_possible_sources,avg_num_sources,avg_portion_affected,accuracy,avg rank of source,avg norm rank of source,avg prediction for source,avg prediction over all nodes,min prediction over all nodes,max prediction over all nodes,source in top 5,source in top 20,source in top 40,source in top 80,gene_specific_metrics,pdgrapher_perturbation_discovery,pdgrapher_response_prediction
baseline_advanced_random_1101_1026,advanced_random,dorothea_500_1000,,,,,0.003,145.695,0.291,0.004,0.002,0.0,0.009,0.019,0.07,0.142,0.278,,,
baseline_advanced_random_1101_1456,advanced_random,dorothea_500_1000,,,,,0.003,145.695,0.291,0.004,0.002,0.0,0.009,0.019,0.07,0.142,0.278,,,
baseline_jordan_1101_1026,jordan,dorothea_500_1000,,,,,0.027,245.612,0.491,0.014,0.002,0.0,1.0,0.051,0.08,0.122,0.187,,,
baseline_jordan_1101_1456,jordan,dorothea_500_1000,,,,,0.027,245.612,0.491,0.014,0.002,0.0,1.0,0.051,0.08,0.122,0.187,,,
baseline_overlap_1101_1026,overlap,dorothea_500_1000,,,,,0.036,106.459,0.213,0.031,0.002,0.0,0.994,0.201,0.287,0.367,0.514,,,
baseline_overlap_1101_1456,overlap,dorothea_500_1000,,,,,0.036,106.459,0.213,0.031,0.002,0.0,0.994,0.201,0.287,0.367,0.514,,,
baseline_random_1101_1026,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_random_1101_1456,random,dorothea_500_1000,,,,,0.002,251.509,0.503,0.002,0.002,0.0,0.004,0.01,0.04,0.08,0.159,,,
baseline_smallestSuperset_1101_1026,smallestSuperset,dorothea_500_1000,,,,,0.028,248.57,0.497,0.026,0.002,0.0,1.0,0.037,0.06,0.111,0.172,,,
baseline_smallestSuperset_1101_1456,smallestSuperset,dorothea_500_1000,,,,,0.028,248.57,0.497,0.026,0.002,0.0,1.0,0.037,0.06,0.111,0.172,,,
gat_1101_1100,gat,dorothea_500_1000,500.0,279.0,1.0,0.499,0.004,186.481,0.373,0.023,0.019,0.004,0.036,0.019,0.073,0.135,0.282,"{'IRF3': {'gene_name': 'IRF3', 'gene_index': 195, 'total_samples': 3773, 'times_true_source': 0, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': None, 'avg_prob_when_true': None, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': None, 'precision': None, 'recall': None, 'f1_score': None}, 'ATF7': {'gene_name': 'ATF7', 'gene_index': 15, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 46, 'correct_predictions': 0, 'avg_prediction_prob': 0.035, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 43.8, 'avg_prob_when_true': 0.035, 'in_top20_when_true': 3, 'in_top40_when_true': 4, 'in_top80_when_true': 10, 'accuracy_when_true': 0.0, 'precision': 0.0, 'recall': 0.0, 'f1_score': None}, 'SREBF2': {'gene_name': 'SREBF2', 'gene_index': 402, 'total_samples': 3773, 'times_true_source': 15, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.012, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 378.667, 'avg_prob_when_true': 0.012, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}, 'MYC': {'gene_name': 'MYC', 'gene_index': 260, 'total_samples': 3773, 'times_true_source': 10, 'times_predicted_source': 0, 'correct_predictions': 0, 'avg_prediction_prob': 0.027, 'avg_rank': 0.0, 'in_top20_count': 0, 'in_top40_count': 0, 'in_top80_count': 0, 'avg_rank_when_true': 112.7, 'avg_prob_when_true': 0.027, 'in_top20_when_true': 0, 'in_top40_when_true': 0, 'in_top80_when_true': 0, 'accuracy_when_true': 0.0, 'precision': None, 'recall': 0.0, 'f1_score': None}}",,
